"","Rank","Film","Studio","Genre","Year","Gross","Gross.Dom","Pct.Dom","Gross.Ovr","Pct.Ovr","Rotten","IMDB","Rating","Days","Budget"
"90",147,"Terminator 3: Rise of the Machines","WB","Action/Adventure",2003,433400000,150400000,0.347,283000000,0.653,70,6.4,"R",121,200
"91",148,"The Mummy Returns","Uni.","Action/Adventure",2001,4.33e+08,202000000,0.467,231000000,0.533,47,6.2,"PG13",154,98
"92",150,"Cast Away","Fox","Action/Adventure",2000,429600000,233600000,0.544,196000000,0.456,90,7.6,"PG13",175,90
"93",151,"The Matrix Revolutions","WB","Action/Adventure",2003,427300000,139300000,0.326,288000000,0.674,36,6.6,"R",121,150
"94",157,"The Mummy","Uni.","Action/Adventure",1999,415900000,155400000,0.374,260500000,0.626,55,6.9,"PG13",133,80
"95",158,"The Chronicles of Narnia: The Voyage of the Dawn Treader","Fox","Action/Adventure",2010,415700000,104400000,0.251,311300000,0.749,49,6.3,"PG",126,155
"96",161,"Night at the Museum: Battle of the Smithsonian","Fox","Action/Adventure",2009,413100000,177200000,0.429,235900000,0.571,43,5.8,"PG",168,150
"97",162,"Batman","WB","Action/Adventure",1989,411300000,251200000,0.611,160200000,0.389,70,7.6,"PG13",175,35
"98",163,"The Bodyguard","WB","Drama",1992,4.11e+08,122000000,0.297,289000000,0.703,32,5.8,"R",143,NA
"99",165,"X2: X-Men United","Fox","Action/Adventure",2003,407700000,214900000,0.527,192800000,0.473,87,7.5,"PG13",147,110
"100",166,"Prometheus","Fox","Action/Adventure",2012,403400000,126500000,0.314,276900000,0.686,74,7.1,"R",105,130
"101",167,"The Mummy: Tomb of the Dragon Emperor","Uni.","Action/Adventure",2008,401100000,102500000,0.256,298600000,0.744,13,5.2,"PG13",56,145
"102",170,"Mission: Impossible III","Par.","Action/Adventure",2006,397900000,134000000,0.337,263800000,0.663,70,6.8,"PG13",76,150
"103",171,"Snow White and the Huntsman","Uni.","Action/Adventure",2012,396600000,155300000,0.392,241300000,0.608,48,6.2,"PG13",98,170
"104",172,"Grease","Par.","Comedy",1978,3.95e+08,188800000,0.478,206200000,0.522,80,7.1,"PG13",153,6
"105",174,"Superman Returns","WB","Action/Adventure",2006,391100000,200100000,0.512,191000000,0.488,75,6.2,"PG13",128,270
"106",175,"Robin Hood: Prince of Thieves","WB","Action/Adventure",1991,390500000,165500000,0.424,225000000,0.576,59,6.8,"PG13",164,48
"107",176,"Raiders of the Lost Ark","Par.","Action/Adventure",1981,389900000,248200000,0.636,141800000,0.364,95,8.6,"PG",280,18
"108",177,"Star Trek","Par.","Action/Adventure",2009,385700000,257700000,0.668,128000000,0.332,95,8,"PG13",147,150
"109",178,"Happy Feet","WB","Animation",2006,384300000,198000000,0.515,186300000,0.485,75,6.5,"PG",175,100
"110",179,"Live Free or Die Hard","Fox","Action/Adventure",2007,383500000,134500000,0.351,249000000,0.649,81,7.3,"PG13",135,110
"111",180,"Ice Age","Fox","Animation",2002,383300000,176400000,0.46,206900000,0.54,77,7.5,"PG",171,59
"112",182,"Back to the Future","Uni.","Action/Adventure",1985,381100000,210600000,0.553,170500000,0.447,96,8.5,"PG",141,19
"113",183,"Godzilla","Sony","Action/Adventure",1998,3.79e+08,136300000,0.36,242700000,0.64,25,5.2,"PG13",133,130
"114",184,"True Lies","Fox","Action/Adventure",1994,378900000,146300000,0.386,232600000,0.614,72,7.2,"R",147,115
"115",186,"Taken 2","Fox","Action/Adventure",2012,376100000,139900000,0.372,236300000,0.628,21,6.2,"PG13",140,45
"116",187,"Batman Begins","WB","Action/Adventure",2005,374200000,206900000,0.553,167400000,0.447,85,8.3,"PG13",142,150
"117",188,"What Women Want","Par.","Comedy",2000,374100000,182800000,0.489,191300000,0.511,54,6.3,"PG13",112,70
"118",189,"The Adventures of Tintin","Par.","Animation",2011,3.74e+08,77600000,0.207,296400000,0.793,75,7.4,"PG",93,130
"119",190,"X-Men Origins: Wolverine","Fox","Action/Adventure",2009,373100000,179900000,0.482,193200000,0.518,38,6.7,"PG13",154,150
"120",192,"G.I. Joe: Retaliation","Par.","Action/Adventure",2013,371800000,122400000,0.329,249400000,0.671,28,6.1,"PG13",103,130
"121",193,"Terminator Salvation","WB","Action/Adventure",2009,371400000,125300000,0.337,246000000,0.663,33,6.7,"PG13",113,200
"122",194,"There's Something About Mary","Fox","Comedy",1998,369900000,176500000,0.477,193400000,0.523,83,7.1,"R",137,23
"123",195,"The Fugitive","WB","Action/Adventure",1993,368900000,183900000,0.498,185000000,0.502,94,7.8,"PG13",147,40
"124",196,"Jurassic Park III","Uni.","Action/Adventure",2001,368800000,181200000,0.491,187600000,0.509,49,5.8,"PG13",156,93
"125",198,"Captain America: The First Avenger","Par.","Action/Adventure",2011,368600000,176700000,0.479,192000000,0.521,79,6.8,"PG13",112,140
"126",199,"Hitch","Sony","Comedy",2005,368100000,179500000,0.488,188600000,0.512,69,6.6,"PG13",119,70
"127",201,"Die Hard: With A Vengeance","Fox","Action/Adventure",1995,366100000,100000000,0.273,266100000,0.727,52,7.5,"R",126,90
"128",202,"Notting Hill","Uni.","Comedy",1999,363900000,116100000,0.319,247800000,0.681,83,6.9,"PG13",135,42
"129",204,"Fast and Furious","Uni.","Action/Adventure",2009,363200000,155100000,0.427,208100000,0.573,27,6.5,"PG13",91,85
"130",205,"Ocean's Twelve","WB","Action/Adventure",2004,362700000,125500000,0.346,237200000,0.654,55,6.3,"PG13",105,110
"131",206,"Planet of the Apes (2001)","Fox","Action/Adventure",2001,362200000,180000000,0.497,182200000,0.503,45,5.6,"PG13",115,100
"132",209,"Alvin and the Chipmunks","Fox","Animation",2007,361300000,217300000,0.601,144000000,0.399,26,5.2,"PG",175,60
"133",210,"The Karate Kid","Sony","Action/Adventure",2010,359100000,176600000,0.492,182500000,0.508,66,6.2,"PG",105,40
"134",211,"Home Alone 2: Lost in New York","Fox","Comedy",1992,3.59e+08,173600000,0.484,185400000,0.516,24,6.2,"PG",101,18
